rma,part_no,part_description,vie_name
FMSV2022090061,343A1295408G,LG FLEXIBLE SECTION ASSY ROHS,Vỏ ống dẫn
FMSV2022090061,56B11069912,BELT,dây đai
FMSV2022090061,57A1235205C,AIRTIGHT CAP,Nắp chống nước
FMSV2022090062,68A1295935A,FLEXIBLE SECTION ASSY,Vỏ ống luồn
FMSV2022090062,23B8087081,ISA RING 2,Vòng sắt
FMSV2022090062,23B1040417A,ISA RING 1,Vòng sắt
FMSV2022090062,342A1295887A,BENDING SECTION ASSY,Bộ phận uốn cong
FMSV2022090062,68B9893902,RUBBER FOR BSA ROHS,Vỏ cao su
FMSV2022090062,68B1235415A,FCT RING,Vòng sắt
FMSV2022090062,68A1304877A,FCT-C692A,Kênh sinh thiết
FMSV2022090062,370Y200585_,AW TUBE ASS'Y,Kênh khí nước
FMSV2022090062,68B12952250,WATER JET TUBE,Kênh nước phụ
FMSV2022090062,42B593410A,PIPE SLEEVE,Ống nối (đồng)
FMSV2022090062,54A379237A,NUT ASS'Y,Đai ốc (đồng)
FMSV2022090062,56B11069912,BELT,dây đai
FMSV2022090065,342A1266008F,BSA-C666A,Bộ phận uốn cong
FMSV2022090065,68B1207810A,RUBBER FOR BSA,Vỏ cao su
FMSV2022090065,56A1082711A,WIRE ASSY,Dây cáp (thép)
FMSV2022090065,42B593410A,PIPE SLEEVE,Ống nối (đồng)
